Latitude,Longitude,ID,PONTO_RECOLHA_LOCAL,RUA 1, RUA 2, CONTENTOR_TOTAL_LITROS
-9.14330880914792,38.7080787857025,15805, R do Alecrim, R Ferragial, R Ataíde,3390
-9.14337777820218,38.7080781891571,15806, R do Alecrim , R Ataíde, R Ferragial,3320
-9.14348180670535,38.7073026157039,15807, R do Alecrim , R Ferragial, Pc Duque da Terceira,1700
-9.14255098678099,38.7073286838222,15808, R Corpo Santo , Lg Corpo Santo, Tv Corpo Santo,2480
-9.14276596081499,38.7070836135523,15809, Tv Corpo Santo , R Corpo Santo, R Bernardino da Costa,400
-9.1426225690344,38.7066975168166,15810, Tv Corpo Santo , R Bernardino da Costa, Cais do Sodré,2160
-9.14240835587344,38.7069966274245,15811, R Bernardino da Costa , Lg Corpo Santo, Tv Corpo Santo,3000
-9.14305015543156,38.7068559589223,15812, R Bernardino da Costa , Tv Corpo Santo, Pc Duque da Terceira,3560
-9.1512511235953,38.7087754470349,15813, Lg Conde-Barão , R da Boavista, Bqr do Duro,6940
-9.15178946418214,38.7086356323308,15814, Lg Conde-Barão , Bqr do Duro, R Mastros,3020
-9.15201897924565,38.708606605818,15815, Lg Conde-Barão , R Mastros, Tv do Cais do Tojo,1280
-9.14910552718357,38.709073383915,15818, Tv Marquês de Sampaio , R da Boavista, R da Boavista,240
-9.14764976145157,38.708563591768,15819, R da Boavista , R São Paulo, Tv Marquês de Sampaio,3500
-9.1485717796828,38.7087267228466,15820, R da Boavista , Tv Marquês de Sampaio, Bqr dos Ferreiros,1410
-9.14911344583279,38.7088210959641,15821, R da Boavista , Bqr dos Ferreiros, Tv Marquês de Sampaio,850
-9.14949354638571,38.7088718347208,15822, R da Boavista , Tv Marquês de Sampaio,"Pto Galega (Rua da Boavista, 118)",1160
-9.15018388371526,38.7089108606806,15823, R da Boavista ,"Pto Galega (Rua da Boavista, 118)", R Instituto Industrial,5190
-9.15079311664937,38.7089055507175,15824, R da Boavista , R Instituto Industrial, Lg Conde-Barão,490
-9.15206034846112,38.7082819634324,15825, Tv do Cais do Tojo , R Cais do Tojo,  R Cais do Tojo,140
-9.15247211372946,38.7081342433687,15827, R Cais do Tojo , Av Dom Carlos I, Tv do Cais do Tojo,2040
-9.15178357572543,38.7082213241484,15828, R Cais do Tojo , Tv do Cais do Tojo, Bqr do Duro,1110
-9.15154474333579,38.7084035643017,15830, Bqr do Duro , R Cais do Tojo, R Cais do Tojo,1200
-9.1513885281045,38.7079275125773,15831, Bqr do Duro , R Cais do Tojo, R Dom Luís I,1330
-9.15046432876378,38.7068005850863,15834, R Instituto Industrial , Av 24 de Julho, R Dom Luís I,2060
-9.1505486401448,38.7078807891527,15836, R Instituto Industrial , R Dom Luís I, R da Boavista,5560
-9.14704425203433,38.7080193757895,15841, R Moeda , R São Paulo, Pc Dom Luís I,5720
-9.14614421827306,38.707783978131,15842, Tv Carvalho , R Ribeira Nova, Tv Carvalho,180
-9.14563984658037,38.7078874408968,15843, Tv Carvalho , Tv Carvalho, Pc São Paulo,1500
-9.14598863635406,38.7081636570213,15844, Tv Carvalho , Tv Carvalho, R São Paulo,280
-9.15199352638039,38.7076249751805,15845, R Dom Luís I , Av Dom Carlos I, Bqr do Duro,4920
-9.15093562538604,38.7076071810499,15846, R Dom Luís I , Bqr do Duro, R Instituto Industrial,1200
